region_id,node_id,object_id,node_center_x,node_center_y,object_centroid_projected_x,object_centroid_projected_y,max_decision_risk,inner_high_risk_radius,outer_stable_radius,required_precision_label_inside_region,convergence_class_distribution,region_class,sample_count,high_risk_sample_count,stable_sample_count,sealed
81,81,geometry:25836914057,144,74,160,90,2.269688,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
82,82,geometry:25836914057,144,74,160,90,2.269688,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
83,83,geometry:25836914057,144,74,160,90,2.269688,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
84,84,geometry:25836914057,148,70,160,90,2.269688,28,,0.003125,threshold_snap:180,UNSEALED_NONCONVERGENT,180,180,0,no
85,85,geometry:25836914057,141,93,160,90,2.267361,27.784888,,0.003125,threshold_snap:246,UNSEALED_NONCONVERGENT,246,246,0,no
86,86,geometry:25836914057,155,117,160,90,2.270861,27.892651,,0.003125,threshold_snap:142,UNSEALED_NONCONVERGENT,142,142,0,no
87,87,geometry:25836914057,140,90,160,90,2.267361,28,,0.003125,threshold_snap:242,UNSEALED_NONCONVERGENT,242,242,0,no
88,88,geometry:25836914057,147,71,160,90,2.269688,27.784888,,0.003125,threshold_snap:195,UNSEALED_NONCONVERGENT,195,195,0,no
89,89,geometry:25836914057,140,86,160,90,2.269688,30.463092,,0.003125,threshold_snap:231,UNSEALED_NONCONVERGENT,231,231,0,no
90,90,geometry:25836914057,144,78,160,90,2.269688,28,,0.003125,threshold_snap:226,UNSEALED_NONCONVERGENT,226,226,0,no
91,91,geometry:25836914057,146,104,160,90,2.270861,28,,0.003125,threshold_snap:221,UNSEALED_NONCONVERGENT,221,221,0,no
92,92,geometry:25836914057,148,102,160,90,2.270861,28.284271,,0.003125,threshold_snap:224,UNSEALED_NONCONVERGENT,224,224,0,no
93,93,geometry:25836914057,148,102,160,90,2.270861,28.284271,,0.003125,threshold_snap:224,UNSEALED_NONCONVERGENT,224,224,0,no
94,94,geometry:25836914057,146,88,160,90,2.265025,27.856777,,0.003125,threshold_snap:259,UNSEALED_NONCONVERGENT,259,259,0,no
95,95,geometry:25836914057,148,74,160,90,2.269688,28,,0.003125,threshold_snap:215,UNSEALED_NONCONVERGENT,215,215,0,no
96,96,geometry:25836914057,146,76,160,90,2.269688,28,,0.003125,threshold_snap:221,UNSEALED_NONCONVERGENT,221,221,0,no
97,97,geometry:25836914057,149,101,160,90,2.270861,29.698485,,0.003125,threshold_snap:241,UNSEALED_NONCONVERGENT,241,241,0,no
98,98,geometry:25836914057,152,106,160,90,2.270861,28.84441,,0.003125,threshold_snap:205,UNSEALED_NONCONVERGENT,205,205,0,no
99,99,geometry:25836914057,152,106,160,90,2.270861,28.84441,,0.003125,threshold_snap:205,UNSEALED_NONCONVERGENT,205,205,0,no
100,100,geometry:25836914057,152,106,160,90,2.270861,28.84441,,0.003125,threshold_snap:205,UNSEALED_NONCONVERGENT,205,205,0,no
101,101,geometry:25836914057,152,106,160,90,2.270861,28.84441,,0.003125,threshold_snap:205,UNSEALED_NONCONVERGENT,205,205,0,no
102,102,geometry:25836914057,148,106,160,90,2.270861,28,,0.003125,threshold_snap:215,UNSEALED_NONCONVERGENT,215,215,0,no
103,103,geometry:25836914057,146,92,160,90,2.265025,27.856777,,0.003125,threshold_snap:259,UNSEALED_NONCONVERGENT,259,259,0,no
104,104,geometry:25836914057,147,103,160,90,2.270861,27.018512,,0.003125,threshold_snap:221,UNSEALED_NONCONVERGENT,221,221,0,no
105,105,geometry:25836914057,144,86,160,90,2.269688,32.249031,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
106,106,geometry:25836914057,144,98,160,90,2.270861,28.84441,,0.003125,threshold_snap:237,UNSEALED_NONCONVERGENT,237,237,0,no
107,107,geometry:25836914057,144,98,160,90,2.270861,28.84441,,0.003125,threshold_snap:237,UNSEALED_NONCONVERGENT,237,237,0,no
108,108,geometry:25836914057,144,98,160,90,2.270861,28.84441,,0.003125,threshold_snap:237,UNSEALED_NONCONVERGENT,237,237,0,no
109,109,geometry:25836914057,144,98,160,90,2.270861,28.84441,,0.003125,threshold_snap:237,UNSEALED_NONCONVERGENT,237,237,0,no
110,110,geometry:25836914057,144,94,160,90,2.270861,32.249031,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
111,111,geometry:25836914057,148,78,160,90,2.269688,28.284271,,0.003125,threshold_snap:224,UNSEALED_NONCONVERGENT,224,224,0,no
112,112,geometry:25836914057,148,78,160,90,2.269688,28.284271,,0.003125,threshold_snap:224,UNSEALED_NONCONVERGENT,224,224,0,no
113,113,geometry:25836914057,144,90,160,90,2.265025,26.870058,,0.003125,threshold_snap:254,UNSEALED_NONCONVERGENT,254,254,0,no
114,114,geometry:25836914057,144,90,160,90,2.265025,26.870058,,0.003125,threshold_snap:254,UNSEALED_NONCONVERGENT,254,254,0,no
115,115,geometry:25836914057,144,90,160,90,2.265025,26.870058,,0.003125,threshold_snap:254,UNSEALED_NONCONVERGENT,254,254,0,no
116,116,geometry:25836914057,144,90,160,90,2.265025,26.870058,,0.003125,threshold_snap:254,UNSEALED_NONCONVERGENT,254,254,0,no
117,117,geometry:25836914057,144,90,160,90,2.265025,26.870058,,0.003125,threshold_snap:254,UNSEALED_NONCONVERGENT,254,254,0,no
