timestamp,phase,step_length,mode,stride,cell_dir,effective_status,beauty_hash,band_pixels,band_percent,horizontal_band_score,mean_band_run_length_by_row,max_contiguous_horizontal_band_width,row_band_coverage_percent,band_pixels_by_y_mod_stride,band_pixels_by_row_group,corner_edge_fill_proxy,notes
2026-05-02T16:42:22Z,A_off_stride,0.015,off,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.015/off_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T16:18:14Z,A_off_stride,0.016,off,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.016/off_stride_1,0,f304ed229956778474bcc3e6c4855d5c382ee21ce0f3ca0c21bae341ae971919,18624,32.3333,0.44769,52.909,66,72.2222,[18624],"[100,512,1968,2208,2238,2272,2272,2208,2306,2062,478,0]",0.04327,godot_shutdown_abort_after_harness_success
2026-05-02T16:24:21Z,A_off_stride,0.016,off,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.016/off_stride_2,0,9542e779c8c2a48821fc775e09434ef796280421b8b742d78a1995e84d261e85,1720,2.9861,0.17917,50.588,98,16.6667,"[860,860]","[68,68,324,136,0,0,0,0,136,332,0,656]",0.02442,godot_shutdown_abort_after_harness_success
2026-05-02T16:26:03Z,A_off_stride,0.016,off,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.016/off_stride_4,0,022b131377f491ffa38f588bc8b8431d4d70e8499ec2d7906a6cbf7e4494a9f0,128,0.2222,0.1,32,32,2.2222,"[64,0,0,64]","[0,0,64,0,0,0,0,0,0,64,0,0]",0.01326,godot_shutdown_abort_after_harness_success
2026-05-02T16:27:07Z,A_off_stride,0.016,off,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.016/off_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T16:03:43Z,A_off_stride,0.018,off,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.018/off_stride_1,0,6b02de2e382f6b64e9fa0cdfea75a47ce8508732f7c07479e8f04ab9034a5c71,18488,32.0972,0.44103,52.374,66,72.7778,[18488],"[134,478,2032,2268,2336,2234,2238,2208,2178,1934,448,0]",0.04397,godot_shutdown_abort_after_harness_success
2026-05-02T16:09:04Z,A_off_stride,0.018,off,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.018/off_stride_2,0,30a3a56990ddc7a54e32b4d5df929b3d7a1fe5c19a4738f5045c83b987bb0695,264,0.4583,0.0825,26.4,34,5.5556,"[132,132]","[0,0,60,0,0,0,0,0,0,68,0,136]",0.02442,godot_shutdown_abort_after_harness_success
2026-05-02T16:10:31Z,A_off_stride,0.018,off,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.018/off_stride_4,0,f7752a3b73c136fb223eecc64d6bb4a7235787cd57cf5efb302149efa91e3f3f,324,0.5625,0.16875,54,98,3.3333,"[162,0,0,162]","[0,196,64,0,0,0,0,0,0,64,0,0]",0.0169,godot_shutdown_abort_after_harness_success
2026-05-02T16:11:36Z,A_off_stride,0.018,off,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.018/off_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T19:31:32Z,B_telemetry_if_time,0.00625,telemetry_on,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.00625/telemetry_on_stride_1,0,29a93a6949eab3b07e870da7054c09442375b72ae9c59ba9b6d68d3ec80c40c3,11645,20.217,0.27993,49.135,160,72.2222,[11645],"[0,272,1175,1397,1410,1410,1410,1410,1410,1162,429,160]",0.0218,godot_shutdown_abort_after_harness_success
2026-05-02T19:38:03Z,B_telemetry_if_time,0.00625,telemetry_on,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.00625/telemetry_on_stride_2,0,53298e8f449ad2a234b29c6b2f20f442193719244d638c59f00615db4c89ad84,14436,25.0625,0.34176,49.779,130,73.3333,"[7218,7218]","[260,317,1127,1395,1395,1519,1779,1850,2166,1996,632,0]",0.0359,godot_shutdown_abort_after_harness_success
2026-05-02T19:41:20Z,B_telemetry_if_time,0.00625,telemetry_on,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.00625/telemetry_on_stride_4,0,db38240a4bb166c922da963c722e99bd07e19a5ee4f78879609fd3da90c87a82,324,0.5625,0.08437,23.143,66,6.6667,"[162,0,0,162]","[0,132,96,0,0,0,0,0,0,80,16,0]",0.02175,godot_shutdown_abort_after_harness_success
2026-05-02T19:43:21Z,B_telemetry_if_time,0.00625,telemetry_on,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.00625/telemetry_on_stride_8,0,4d4ca9fdb9232f5c71268216732b6f3a3385deaedc84efa05ea4c0fb2568c7a4,160,0.2778,0.08333,20,28,3.3333,"[80,0,0,0,0,0,0,80]","[0,0,56,0,0,0,0,0,0,56,48,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T19:15:09Z,B_telemetry_if_time,0.0125,telemetry_on,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.0125/telemetry_on_stride_1,0,e6aba65ce70dab74d3c1691dddc86f4338faeb52b9d56e592e6e399d84668482,18806,32.6493,0.45913,52.826,64,71.1111,[18806],"[0,478,2096,2370,2302,2144,2336,2302,2268,2032,478,0]",0.03323,godot_shutdown_abort_after_harness_success
2026-05-02T19:21:35Z,B_telemetry_if_time,0.0125,telemetry_on,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.0125/telemetry_on_stride_2,0,0630d4d0d47fdd8f336604d4677dc5a8e5fef534dd8c05896672ec4f8c7905c2,9302,16.1493,0.23443,70.47,160,68.8889,"[4651,4651]","[260,518,60,1438,926,776,264,854,542,962,1018,1684]",0.02701,godot_shutdown_abort_after_harness_success
2026-05-02T19:23:27Z,B_telemetry_if_time,0.0125,telemetry_on,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.0125/telemetry_on_stride_4,0,7291009830755e868ecfd4b0ab737b45bc19ec02c21801e63b78f0657d34efe9,388,0.6736,0.20208,64.667,130,3.3333,"[194,0,0,194]","[260,0,64,0,0,0,0,0,0,64,0,0]",0.02175,godot_shutdown_abort_after_harness_success
2026-05-02T19:24:38Z,B_telemetry_if_time,0.0125,telemetry_on,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.0125/telemetry_on_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T18:59:32Z,B_telemetry_if_time,0.015,telemetry_on,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.015/telemetry_on_stride_1,0,07d32c6744f513163e8ddb1a268253c7d04d7d89cf4e131d0b9c373eea48ea5b,18478,32.0799,0.44763,52.198,64,71.6667,[18478],"[34,448,1904,2238,2238,2272,2302,2268,2268,2028,478,0]",0.04364,godot_shutdown_abort_after_harness_success
2026-05-02T19:05:40Z,B_telemetry_if_time,0.015,telemetry_on,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.015/telemetry_on_stride_2,0,724f4b7a93e41964d7921ae944c2a5bd7f47eca178af792956370ccf3141c23a,1660,2.8819,0.1441,46.111,98,20,"[830,830]","[196,0,60,198,202,0,0,136,0,102,502,264]",0.02579,godot_shutdown_abort_after_harness_success
2026-05-02T19:07:18Z,B_telemetry_if_time,0.015,telemetry_on,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.015/telemetry_on_stride_4,0,f48cf30a04193660c98cef0f833fecab7404067eb5b77d3d0a4b37e06c542bef,196,0.3403,0.10208,32.667,34,3.3333,"[98,0,0,98]","[0,68,64,0,0,0,0,0,0,64,0,0]",0.0169,godot_shutdown_abort_after_harness_success
2026-05-02T19:08:25Z,B_telemetry_if_time,0.015,telemetry_on,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.015/telemetry_on_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T18:46:41Z,B_telemetry_if_time,0.025,telemetry_on,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.025/telemetry_on_stride_1,0,fb40131825708221a7921e23d719118371e66eb94d2bc2bc8951c615365411cc,18575,32.2483,0.4237,57.686,160,76.1111,[18575],"[320,905,1936,2122,2094,2113,1998,2122,2113,1854,738,260]",0.04355,godot_shutdown_abort_after_harness_success
2026-05-02T18:50:38Z,B_telemetry_if_time,0.025,telemetry_on,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.025/telemetry_on_stride_2,0,b2cada11bf2ba60996f0cacf26c2eb82f070af5fa43277e86f47113bb02de3a2,128,0.2222,0.06667,21.333,30,3.3333,"[64,64]","[0,0,60,0,0,0,0,0,0,68,0,0]",0.02054,godot_shutdown_abort_after_harness_success
2026-05-02T18:51:52Z,B_telemetry_if_time,0.025,telemetry_on,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.025/telemetry_on_stride_4,0,54bd9428834e8200143a34a1dd6d45f53fc19699111e7f54550e232044f5a4c1,128,0.2222,0.1,32,32,2.2222,"[64,0,0,64]","[0,0,64,0,0,0,0,0,0,64,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T18:52:54Z,B_telemetry_if_time,0.025,telemetry_on,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_B_telemetry_if_time/step_0.025/telemetry_on_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
