x,y,classification,first_stable_step,max_decision_risk,max_path_length_delta,max_normal_angle_delta,ownership_transition,stable_at_0.00625,stable_at_0.003125,risk_0.00625,risk_0.003125,path_delta_0.00625,path_delta_0.003125,normal_delta_0.00625,normal_delta_0.003125
38,37,stable,0.02,0.001735,0.013802,0.0,0,1,1,0.000664,0.000363,0.004767,0.001929,0.0,0.0
38,38,stable,0.014,0.001886,0.015297,0.0,0,1,1,0.000545,0.000225,0.003984,0.001146,0.0,0.0
38,39,stable,0.02,0.001324,0.010791,0.0,0,1,1,0.00042,0.000488,0.003201,0.003489,0.0,0.0
38,40,stable,0.02,0.001267,0.010176,0.0,0,1,1,0.000358,0.000431,0.002419,0.002706,0.0,0.0
38,41,stable,0.014,0.001906,0.015643,0.0,0,1,1,0.000246,0.00033,0.001636,0.001923,0.0,0.0
38,42,stable,0.016,0.002104,0.017169,0.0,0,1,1,0.000154,0.000237,0.000853,0.00114,0.0,0.0
39,26,stable,0.02,0.001728,0.01344,0.0,0,1,1,0.000992,0.000675,0.007132,0.004293,0.0,0.0
39,27,stable,0.02,0.001657,0.013631,0.0,0,1,1,0.000172,0.000224,0.000879,0.001166,0.0,0.0
39,28,stable,0.018,0.002107,0.016719,0.0,0,1,1,0.000343,0.000395,0.001658,0.001945,0.0,0.0
39,29,stable,0.02,0.001839,0.014967,0.0,0,1,1,0.000272,0.00032,0.001657,0.001944,0.0,0.0
39,30,stable,0.018,0.001458,0.010872,0.0,0,1,1,0.000535,0.000618,0.003217,0.003504,0.0,0.0
39,31,stable,0.016,0.002123,0.017026,0.0,0,1,1,0.000487,0.000551,0.003215,0.003502,0.0,0.0
39,32,stable,0.02,0.002007,0.016494,0.0,0,1,1,0.000341,0.000424,0.002432,0.002719,0.0,0.0
39,33,stable,0.02,0.001863,0.014505,0.0,0,1,1,0.000532,0.000581,0.003211,0.003498,0.0,0.0
39,34,stable,0.015,0.001981,0.015771,0.0,0,1,1,0.000505,0.000557,0.003209,0.003496,0.0,0.0
