edge_id,node_a,node_b,seam_length_px,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,collider_flip_count,domain_flip_count,path_length_delta_mean,path_length_delta_max,step_count_delta_mean,step_count_delta_max,boundary_event_delta_mean,boundary_event_delta_max
102,22,23,2,1.222091,1.222115,2,0,0.110783,0.110844,0.0,0.0,0.0,0.0
103,24,25,2,1.178792,1.178803,2,0,0.002536,0.002564,0.0,0.0,0.0,0.0
104,25,26,2,1.222015,1.222018,2,0,0.110594,0.1106,0.0,0.0,0.0,0.0
105,27,28,2,1.178794,1.178809,2,0,0.002543,0.00258,0.0,0.0,0.0,0.0
106,28,29,2,1.221958,1.221965,2,0,0.110451,0.110469,0.0,0.0,0.0,0.0
107,30,31,2,1.178804,1.178807,2,0,0.002567,0.002575,0.0,0.0,0.0,0.0
108,31,32,2,1.221917,1.221926,2,0,0.11035,0.110372,0.0,0.0,0.0,0.0
109,33,34,2,1.178804,1.178808,2,0,0.002567,0.002577,0.0,0.0,0.0,0.0
110,34,35,2,1.221877,1.221878,2,0,0.11025,0.110251,0.0,0.0,0.0,0.0
111,36,37,2,1.178791,1.178805,2,0,0.002534,0.00257,0.0,0.0,0.0,0.0
112,37,38,2,1.221834,1.221851,2,0,0.110142,0.110185,0.0,0.0,0.0,0.0
113,39,40,2,1.178806,1.178806,2,0,0.002572,0.002572,0.0,0.0,0.0,0.0
114,40,41,2,1.221828,1.221831,2,0,0.110128,0.110134,0.0,0.0,0.0,0.0
115,42,43,2,1.178806,1.178806,2,0,0.00257,0.002571,0.0,0.0,0.0,0.0
116,43,44,2,1.221818,1.221819,2,0,0.110102,0.110105,0.0,0.0,0.0,0.0
117,45,46,2,1.178806,1.178806,2,0,0.00257,0.002571,0.0,0.0,0.0,0.0
118,46,47,2,1.221818,1.221819,2,0,0.110102,0.110105,0.0,0.0,0.0,0.0
119,48,49,2,1.178806,1.178806,2,0,0.002572,0.002572,0.0,0.0,0.0,0.0
120,49,50,2,1.221828,1.221831,2,0,0.110128,0.110134,0.0,0.0,0.0,0.0
121,51,52,2,1.178791,1.178805,2,0,0.002534,0.00257,0.0,0.0,0.0,0.0
