node_id,anchor_id,object_id,projected_tile,projected_x,projected_y,object_centroid_projected_x,object_centroid_projected_y,radial_dist_from_object_centroid,radial_angle_from_object_centroid,nearest_anchor_kind,nearest_corner_dist,nearest_edge_dist,radial_offset_x,radial_offset_y,max_decision_risk,risk_at_0.00625,required_precision_estimate,convergence_class,local_maximum,persistent_mismatch_at_0.00625,threshold_snap_zone
21,geometry:25836914057:centroid,geometry:25836914057,2,140,70,160,90,28.28427,-2.356194,Centroid,-1.0,50.15974,-4,-4,2.26112,2.260144,0.003125,threshold_snap,no,yes,yes
22,geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32.0,3.141593,Centroid,-1.0,72.44998,-16,-16,2.261116,2.260131,0.003125,threshold_snap,yes,yes,yes
23,geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32.0,3.141593,Centroid,-1.0,72.44998,-16,16,2.261116,2.260131,0.003125,threshold_snap,yes,yes,yes
24,geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32.0,3.141593,Centroid,-1.0,72.44998,-16,0,2.261116,2.260131,0.003125,threshold_snap,yes,yes,yes
25,geometry:25836914057:centroid,geometry:25836914057,2,144,66,160,90,28.84441,-2.158799,Centroid,-1.0,44.94441,0,-8,2.261109,2.260141,0.003125,threshold_snap,no,yes,yes
26,geometry:25836914057:centroid,geometry:25836914057,2,140,110,160,90,28.28427,2.356194,Centroid,-1.0,49.24429,-4,4,2.261097,2.261089,0.003125,threshold_snap,no,yes,yes
27,geometry:25836914057:centroid,geometry:25836914057,2,141,109,160,90,26.87006,2.356194,Centroid,-1.0,49.76947,-3,3,2.261088,2.26011,0.003125,threshold_snap,no,yes,yes
28,geometry:25836914057:centroid,geometry:25836914057,2,144,114,160,90,28.84441,2.158799,Centroid,-1.0,44.01136,0,8,2.261088,2.260123,0.003125,threshold_snap,no,yes,yes
29,geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1.0,55.4617,-8,0,2.261088,2.261086,0.003125,threshold_snap,no,yes,yes
30,geometry:25836914057:centroid,geometry:25836914057,2,141,109,160,90,26.87006,2.356194,Centroid,-1.0,49.76947,-11,11,2.261088,2.26011,0.003125,threshold_snap,no,yes,yes
31,geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1.0,55.4617,-16,-16,2.261088,2.261086,0.003125,threshold_snap,no,yes,yes
32,geometry:25836914057:centroid,geometry:25836914057,2,136,90,160,90,24.0,3.141593,Centroid,-1.0,69.28925,-8,0,2.260334,2.258192,0.003125,threshold_snap,no,yes,yes
33,geometry:25836914057:centroid,geometry:25836914057,2,136,90,160,90,24.0,3.141593,Centroid,-1.0,69.28925,-16,0,2.260334,2.258192,0.003125,threshold_snap,no,yes,yes
34,geometry:25836914057:centroid,geometry:25836914057,2,141,71,160,90,26.87006,-2.356194,Centroid,-1.0,50.69517,-3,-3,2.260332,2.259155,0.003125,threshold_snap,no,yes,yes
35,geometry:25836914057:centroid,geometry:25836914057,2,141,71,160,90,26.87006,-2.356194,Centroid,-1.0,50.69517,-11,-11,2.260332,2.259155,0.003125,threshold_snap,no,yes,yes
36,geometry:25836914057:centroid,geometry:25836914057,2,133,95,160,90,27.45906,2.958482,Centroid,-1.0,65.79514,-11,-11,2.26033,2.259151,0.003125,threshold_snap,no,yes,yes
37,geometry:25836914057:centroid,geometry:25836914057,2,136,82,160,90,25.29822,-2.819842,Centroid,-1.0,62.76942,-8,8,2.260325,2.259152,0.003125,threshold_snap,no,yes,yes
38,geometry:25836914057:centroid,geometry:25836914057,2,136,82,160,90,25.29822,-2.819842,Centroid,-1.0,62.76942,-8,-8,2.260325,2.259152,0.003125,threshold_snap,no,yes,yes
39,geometry:25836914057:centroid,geometry:25836914057,2,136,82,160,90,25.29822,-2.819842,Centroid,-1.0,62.76942,-16,0,2.260325,2.259152,0.003125,threshold_snap,no,yes,yes
40,geometry:25836914057:centroid,geometry:25836914057,2,136,82,160,90,25.29822,-2.819842,Centroid,-1.0,62.76942,-16,-16,2.260325,2.259152,0.003125,threshold_snap,no,yes,yes
41,geometry:25836914057:centroid,geometry:25836914057,2,140,106,160,90,25.6125,2.466852,Centroid,-1.0,52.92447,-4,0,2.26032,2.259138,0.003125,threshold_snap,no,yes,yes
42,geometry:25836914057:centroid,geometry:25836914057,2,133,85,160,90,27.45906,-2.958482,Centroid,-1.0,66.70832,-11,11,2.260319,2.259151,0.003125,threshold_snap,no,yes,yes
43,geometry:25836914057:centroid,geometry:25836914057,2,140,74,160,90,25.6125,-2.466852,Centroid,-1.0,53.85165,-4,0,2.260318,2.259137,0.003125,threshold_snap,no,yes,yes
44,geometry:25836914057:centroid,geometry:25836914057,2,138,100,160,90,24.16609,2.714965,Centroid,-1.0,59.23681,-6,-6,2.260317,2.259136,0.003125,threshold_snap,no,yes,yes
45,geometry:25836914057:centroid,geometry:25836914057,2,144,110,160,90,25.6125,2.245537,Centroid,-1.0,47.75982,0,4,2.260312,2.259147,0.003125,threshold_snap,no,yes,yes
46,geometry:25836914057:centroid,geometry:25836914057,2,138,80,160,90,24.16609,-2.714965,Centroid,-1.0,60.16644,-6,6,2.26031,2.258158,0.003125,threshold_snap,no,yes,yes
47,geometry:25836914057:centroid,geometry:25836914057,2,136,98,160,90,25.29822,2.819842,Centroid,-1.0,61.84658,-8,-8,2.260308,2.259134,0.003125,threshold_snap,no,yes,yes
48,geometry:25836914057:centroid,geometry:25836914057,2,136,98,160,90,25.29822,2.819842,Centroid,-1.0,61.84658,-8,8,2.260308,2.259134,0.003125,threshold_snap,no,yes,yes
49,geometry:25836914057:centroid,geometry:25836914057,2,136,98,160,90,25.29822,2.819842,Centroid,-1.0,61.84658,-16,16,2.260308,2.259134,0.003125,threshold_snap,no,yes,yes
50,geometry:25836914057:centroid,geometry:25836914057,2,136,98,160,90,25.29822,2.819842,Centroid,-1.0,61.84658,-16,0,2.260308,2.259134,0.003125,threshold_snap,no,yes,yes
51,geometry:25836914057:centroid,geometry:25836914057,2,141,103,160,90,23.02173,2.541543,Centroid,-1.0,55.36244,-3,-3,2.259166,2.258191,0.003125,threshold_snap,no,yes,yes
52,geometry:25836914057:centroid,geometry:25836914057,2,140,78,160,90,23.32381,-2.601173,Centroid,-1.0,57.58472,-4,4,2.259152,2.258175,0.003125,threshold_snap,no,yes,yes
53,geometry:25836914057:centroid,geometry:25836914057,2,160,122,160,90,32.0,1.570796,Centroid,-1.0,33.0,16,16,2.259151,2.258175,0.003125,threshold_snap,yes,yes,yes
54,geometry:25836914057:centroid,geometry:25836914057,2,160,122,160,90,32.0,1.570796,Centroid,-1.0,33.0,0,16,2.259151,2.258175,0.003125,threshold_snap,yes,yes,yes
55,geometry:25836914057:centroid,geometry:25836914057,2,141,77,160,90,23.02173,-2.541543,Centroid,-1.0,56.30275,-3,3,2.259147,2.258174,0.003125,threshold_snap,no,yes,yes
56,geometry:25836914057:centroid,geometry:25836914057,2,144,70,160,90,25.6125,-2.245537,Centroid,-1.0,48.70318,0,-4,2.259145,2.258161,0.003125,threshold_snap,no,yes,yes
57,geometry:25836914057:centroid,geometry:25836914057,2,140,102,160,90,23.32381,2.601173,Centroid,-1.0,56.64804,-4,-4,2.259135,2.25817,0.003125,threshold_snap,no,yes,yes
58,geometry:25836914057:centroid,geometry:25836914057,2,141,87,160,90,19.23538,-2.984991,Centroid,-1.0,65.80273,-11,-11,2.257996,2.256227,0.003125,threshold_snap,no,yes,yes
59,geometry:25836914057:centroid,geometry:25836914057,2,150,68,160,90,24.16609,-1.997424,Centroid,-1.0,45.12206,6,-6,2.257994,2.256237,0.003125,threshold_snap,no,yes,yes
60,geometry:25836914057:centroid,geometry:25836914057,2,147,109,160,90,23.02173,2.170846,Centroid,-1.0,47.80167,3,3,2.257993,2.257202,0.003125,threshold_snap,no,yes,yes
61,geometry:25836914057:centroid,geometry:25836914057,2,150,112,160,90,24.16609,1.997424,Centroid,-1.0,44.14748,6,6,2.257993,2.257203,0.003125,threshold_snap,no,yes,yes
62,geometry:25836914057:centroid,geometry:25836914057,2,148,110,160,90,23.32381,2.111216,Centroid,-1.0,46.57253,4,4,2.257989,2.2572,0.003125,threshold_snap,no,yes,yes
63,geometry:25836914057:centroid,geometry:25836914057,2,152,114,160,90,25.29822,1.892547,Centroid,-1.0,41.7732,8,8,2.257988,2.257212,0.003125,threshold_snap,no,yes,yes
64,geometry:25836914057:centroid,geometry:25836914057,2,152,114,160,90,25.29822,1.892547,Centroid,-1.0,41.7732,0,16,2.257988,2.257212,0.003125,threshold_snap,no,yes,yes
65,geometry:25836914057:centroid,geometry:25836914057,2,152,114,160,90,25.29822,1.892547,Centroid,-1.0,41.7732,-8,8,2.257988,2.257212,0.003125,threshold_snap,no,yes,yes
66,geometry:25836914057:centroid,geometry:25836914057,2,160,58,160,90,32.0,-1.570796,Centroid,-1.0,34.0,16,-16,2.257987,2.257199,0.003125,threshold_snap,yes,yes,yes
